Regex,Delimiter,Output Column Name,Group Number,Transform,Mapping File,Ignore,Append,Example
\s?([0-9\.]*)\s?cm\s?H(?s).*,\s\s,HEIGHT,1,,,,,
\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.]*)\s?cm\s?W(?s).*,\s\s,WIDTH,2,,,,,
\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.]*)\s?cm\s?W\s?x\s?([0-9\.]*)\s?cm\s?D,\s\s,LENGTH,3,,,,,
\s?([0-9\.]*)\s?(cm|)\s?-\s?([0-9\.]*)\s?cm\s?H(?s).*,\s\s,MIN HEIGHT,1,,,,,
\s?([0-9\.]*)\s?(cm|)\s?-\s?([0-9\.]*)\s?cm\s?H(?s).*,\s\s,MAX HEIGHT,3,,,,,
(?s).*cm\s?H\s?x\s?([0-9\.]*)\s?-\s?([0-9\.]*)\s?cm\s?W(?s).*,\s\s,MIN WIDTH,2,,,,,
(?s).*cm\s?H\s?x\s?([0-9\.]*)\s?-\s?([0-9\.]*)\s?cm\s?W(?s).*,\s\s,MAX WIDTH,3,,,,,
\s?([0-9\.]*)\s?cm\s?H(?s).*,\s\s,HEIGHT,1,,,,,
\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.])\s?cm\s?W(?s).*,\s\s,WIDTH,2,,,,,
\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.])\s?cm\s?W\s?x\s?([0-9\.]*)\s?cm\s?D(?s).*,\s\s,LENGTH,3,,,,,
"\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.])\s?cm\s?W\s?x\s?([0-9\.]*)\s?cm\s?D,\s?([0-9\.]*)\s?kgs?",\s\s,WEIGHT,4,,,,,
\s?([0-9\.]*)\s?cm\s?H(?s).*,\s\s,HEIGHT,1,,,,,
\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.])\s?cm\s?W(?s).*,\s\s,WIDTH,2,,,,,
"\s?([0-9\.]*)\s?cm\s?H\s?x\s?([0-9\.])\s?cm\s?W\s,\s?([0-9\.]*)\s?kgs?",\s\s,WEIGHT,3,,,,,
